Damage_Range,Frequency,Weapon,Character
39-46,1,Sanguine Dagger (4d6),Level 5 Rogue
47-54,3,Sanguine Dagger (4d6),Level 5 Rogue
55-62,11,Sanguine Dagger (4d6),Level 5 Rogue
63-70,10,Sanguine Dagger (4d6),Level 5 Rogue
71-78,16,Sanguine Dagger (4d6),Level 5 Rogue
79-86,16,Sanguine Dagger (4d6),Level 5 Rogue
87-94,37,Sanguine Dagger (4d6),Level 5 Rogue
95-102,54,Sanguine Dagger (4d6),Level 5 Rogue
103-110,72,Sanguine Dagger (4d6),Level 5 Rogue
111-118,80,Sanguine Dagger (4d6),Level 5 Rogue
119-126,86,Sanguine Dagger (4d6),Level 5 Rogue
127-134,79,Sanguine Dagger (4d6),Level 5 Rogue
135-142,77,Sanguine Dagger (4d6),Level 5 Rogue
143-150,84,Sanguine Dagger (4d6),Level 5 Rogue
151-158,60,Sanguine Dagger (4d6),Level 5 Rogue
159-166,59,Sanguine Dagger (4d6),Level 5 Rogue
167-174,66,Sanguine Dagger (4d6),Level 5 Rogue
175-182,75,Sanguine Dagger (4d6),Level 5 Rogue
183-190,49,Sanguine Dagger (4d6),Level 5 Rogue
191-198,25,Sanguine Dagger (4d6),Level 5 Rogue
199-206,16,Sanguine Dagger (4d6),Level 5 Rogue
207-214,12,Sanguine Dagger (4d6),Level 5 Rogue
215-222,4,Sanguine Dagger (4d6),Level 5 Rogue
223-230,7,Sanguine Dagger (4d6),Level 5 Rogue
231-238,1,Sanguine Dagger (4d6),Level 5 Rogue
0-9,1,Sanguine Dagger,Level 5 Rogue
40-49,1,Sanguine Dagger,Level 5 Rogue
50-59,10,Sanguine Dagger,Level 5 Rogue
60-69,14,Sanguine Dagger,Level 5 Rogue
70-79,16,Sanguine Dagger,Level 5 Rogue
80-89,29,Sanguine Dagger,Level 5 Rogue
90-99,43,Sanguine Dagger,Level 5 Rogue
100-109,78,Sanguine Dagger,Level 5 Rogue
110-119,107,Sanguine Dagger,Level 5 Rogue
120-129,106,Sanguine Dagger,Level 5 Rogue
130-139,104,Sanguine Dagger,Level 5 Rogue
140-149,104,Sanguine Dagger,Level 5 Rogue
150-159,92,Sanguine Dagger,Level 5 Rogue
160-169,90,Sanguine Dagger,Level 5 Rogue
170-179,65,Sanguine Dagger,Level 5 Rogue
180-189,58,Sanguine Dagger,Level 5 Rogue
190-199,38,Sanguine Dagger,Level 5 Rogue
200-209,22,Sanguine Dagger,Level 5 Rogue
210-219,14,Sanguine Dagger,Level 5 Rogue
220-229,4,Sanguine Dagger,Level 5 Rogue
230-239,1,Sanguine Dagger,Level 5 Rogue
240-249,2,Sanguine Dagger,Level 5 Rogue
250-259,1,Sanguine Dagger,Level 5 Rogue
30-37,3,Baseline Rapier +1,Level 5 Rogue
38-45,3,Baseline Rapier +1,Level 5 Rogue
46-53,7,Baseline Rapier +1,Level 5 Rogue
54-61,10,Baseline Rapier +1,Level 5 Rogue
62-69,20,Baseline Rapier +1,Level 5 Rogue
70-77,26,Baseline Rapier +1,Level 5 Rogue
78-85,40,Baseline Rapier +1,Level 5 Rogue
86-93,57,Baseline Rapier +1,Level 5 Rogue
94-101,79,Baseline Rapier +1,Level 5 Rogue
102-109,69,Baseline Rapier +1,Level 5 Rogue
110-117,96,Baseline Rapier +1,Level 5 Rogue
118-125,88,Baseline Rapier +1,Level 5 Rogue
126-133,101,Baseline Rapier +1,Level 5 Rogue
134-141,95,Baseline Rapier +1,Level 5 Rogue
142-149,83,Baseline Rapier +1,Level 5 Rogue
150-157,77,Baseline Rapier +1,Level 5 Rogue
158-165,55,Baseline Rapier +1,Level 5 Rogue
166-173,37,Baseline Rapier +1,Level 5 Rogue
174-181,28,Baseline Rapier +1,Level 5 Rogue
182-189,13,Baseline Rapier +1,Level 5 Rogue
190-197,7,Baseline Rapier +1,Level 5 Rogue
198-205,3,Baseline Rapier +1,Level 5 Rogue
206-213,2,Baseline Rapier +1,Level 5 Rogue
214-221,1,Baseline Rapier +1,Level 5 Rogue
