Combat_Number,Sanguine Dagger (4d6),Sanguine Dagger,Baseline Rapier +1
1,89,82,121
2,158,114,88
3,187,118,207
4,127,173,133
5,132,140,121
6,156,84,84
7,127,98,91
8,57,152,115
9,174,159,128
10,173,174,93
11,119,118,159
12,150,153,104
13,138,81,142
14,144,131,119
15,173,111,157
16,130,118,128
17,139,179,111
18,139,178,89
19,119,144,133
20,143,119,112
21,139,133,91
22,94,126,102
23,113,121,125
24,125,160,101
25,155,202,96
26,81,116,159
27,206,147,179
28,100,127,134
29,133,172,160
30,165,222,112
31,146,107,128
32,148,58,76
33,114,97,99
34,149,192,142
35,171,142,132
36,164,152,106
37,186,111,113
38,125,110,203
39,172,166,134
40,113,124,169
41,104,166,86
42,145,164,83
43,159,192,129
44,118,97,167
45,130,93,118
46,125,108,120
47,165,199,124
48,179,62,156
49,102,243,126
50,181,95,147
51,114,201,104
52,118,187,149
53,129,195,104
54,214,156,108
55,139,150,101
56,97,122,166
57,61,97,133
58,183,138,139
59,167,86,105
60,180,148,145
61,123,84,97
62,110,138,134
63,159,124,130
64,158,107,154
65,159,134,141
66,103,97,137
67,148,135,98
68,182,118,146
69,124,180,148
70,134,147,118
71,140,87,92
72,99,131,119
73,147,154,130
74,164,121,136
75,171,133,122
76,121,171,160
77,156,111,134
78,128,172,144
79,89,91,183
80,177,128,154
81,192,166,168
82,146,95,79
83,154,202,157
84,65,149,91
85,102,133,134
86,146,165,121
87,87,134,91
88,106,196,114
89,177,216,113
90,165,147,120
91,104,110,117
92,118,106,130
93,156,94,156
94,130,117,95
95,132,169,151
96,59,135,98
97,156,139,123
98,162,173,70
99,97,106,88
100,165,151,166
101,136,137,162
102,82,175,81
103,134,132,86
104,99,137,93
105,130,176,167
106,183,116,97
107,109,115,108
108,145,121,122
109,149,162,107
110,184,216,54
111,138,151,68
112,112,122,69
113,123,117,130
114,192,165,122
115,132,122,156
116,147,202,154
117,173,108,121
118,111,108,112
119,140,102,145
120,178,103,123
121,129,130,91
122,109,127,154
123,122,130,121
124,161,129,155
125,120,103,89
126,181,115,133
127,108,190,138
128,189,151,112
129,150,88,132
130,117,159,87
131,194,102,81
132,183,141,122
133,77,154,71
134,148,179,94
135,59,163,153
136,229,123,134
137,116,122,143
138,136,111,115
139,188,149,148
140,181,131,167
141,96,113,146
142,148,128,169
143,147,99,72
144,100,106,82
145,151,134,111
146,54,163,128
147,70,159,132
148,128,103,145
149,135,173,130
150,181,107,92
151,130,154,86
152,104,167,121
153,129,133,114
154,180,99,194
155,91,100,119
156,136,139,125
157,142,139,146
158,183,160,86
159,171,200,115
160,115,127,115
161,89,199,130
162,103,124,165
163,127,156,121
164,96,122,128
165,154,165,126
166,122,138,162
167,100,110,122
168,119,67,103
169,139,106,123
170,129,166,131
171,139,134,120
172,184,196,107
173,47,168,117
174,210,114,106
175,152,215,59
176,81,105,145
177,113,130,113
178,181,148,80
179,125,191,156
180,75,138,145
181,180,156,111
182,98,140,158
183,122,126,77
184,163,111,165
185,140,215,161
186,181,162,181
187,127,95,141
188,159,181,133
189,107,147,129
190,171,151,63
191,169,127,94
192,144,57,58
193,173,200,108
194,107,132,131
195,168,155,112
196,145,171,186
197,100,70,145
198,194,175,157
199,118,86,148
200,134,120,109
201,176,113,121
202,58,159,89
203,154,179,119
204,142,155,132
205,171,185,78
206,176,188,143
207,126,130,147
208,149,109,142
209,102,107,138
210,89,120,131
211,101,181,111
212,128,65,129
213,170,145,83
214,77,103,103
215,187,149,97
216,103,147,134
217,91,120,111
218,131,127,150
219,127,139,121
220,189,138,136
221,162,69,152
222,87,182,115
223,170,155,146
224,172,170,158
225,89,133,152
226,122,122,89
227,131,175,138
228,135,156,75
229,152,193,82
230,138,98,141
231,171,102,188
232,109,179,89
233,180,61,159
234,124,162,171
235,160,128,86
236,101,103,52
237,102,144,67
238,159,174,102
239,127,147,80
240,114,104,141
241,160,107,152
242,171,116,136
243,180,152,184
244,135,112,115
245,118,193,158
246,184,120,112
247,104,125,125
248,200,103,75
249,177,172,131
250,121,155,142
251,205,87,91
252,123,138,83
253,165,193,129
254,157,136,142
255,140,182,75
256,98,112,96
257,169,180,98
258,141,179,158
259,80,121,106
260,139,89,163
261,188,147,30
262,161,131,147
263,54,124,73
264,186,75,135
265,123,148,122
266,147,91,179
267,97,153,93
268,133,158,95
269,129,123,83
270,120,186,117
271,161,155,175
272,188,160,84
273,135,126,130
274,137,169,149
275,108,125,147
276,100,200,167
277,207,125,175
278,141,164,155
279,122,174,92
280,185,186,65
281,168,121,144
282,178,197,143
283,106,119,179
284,123,148,118
285,184,171,113
286,95,115,175
287,117,120,139
288,154,197,121
289,127,126,102
290,180,145,94
291,119,113,161
292,88,102,91
293,127,137,126
294,176,102,157
295,118,118,110
296,199,169,92
297,124,54,148
298,72,147,77
299,179,115,183
300,157,125,113
301,125,220,99
302,178,162,137
303,177,112,94
304,155,148,155
305,170,113,123
306,135,156,145
307,188,128,128
308,113,125,155
309,134,112,102
310,156,147,95
311,147,144,122
312,143,149,98
313,144,135,103
314,126,96,123
315,157,148,114
316,139,114,80
317,114,155,170
318,139,148,152
319,120,91,123
320,116,135,133
321,110,75,91
322,179,167,112
323,72,178,125
324,153,122,93
325,110,170,146
326,175,153,109
327,131,141,77
328,226,189,95
329,188,130,99
330,160,155,155
331,159,140,139
332,112,161,114
333,98,121,162
334,191,106,100
335,148,144,96
336,169,120,140
337,114,184,156
338,111,148,108
339,199,137,141
340,147,102,113
341,134,145,66
342,89,142,85
343,142,166,86
344,122,187,114
345,147,106,132
346,111,146,118
347,106,173,69
348,114,197,169
349,181,162,127
350,128,103,131
351,92,102,118
352,109,85,90
353,112,193,166
354,139,63,112
355,192,193,106
356,150,134,154
357,182,114,138
358,67,157,172
359,154,195,114
360,126,146,75
361,169,139,126
362,111,75,141
363,121,182,120
364,187,67,125
365,137,173,142
366,174,102,96
367,133,127,128
368,130,126,142
369,173,141,82
370,108,110,97
371,154,151,155
372,131,168,148
373,119,173,112
374,210,95,135
375,167,209,74
376,130,170,165
377,156,154,180
378,154,108,128
379,139,148,147
380,116,127,131
381,182,139,160
382,134,111,74
383,122,111,121
384,126,179,138
385,140,182,86
386,124,123,94
387,144,129,190
388,92,168,137
389,150,129,92
390,87,119,79
391,175,182,141
392,106,129,140
393,169,104,112
394,61,135,137
395,110,132,152
396,87,175,106
397,128,117,46
398,200,117,184
399,169,184,150
400,128,185,147
401,201,51,181
402,172,208,101
403,140,91,81
404,142,140,98
405,185,167,92
406,153,168,95
407,88,135,62
408,119,93,126
409,118,116,135
410,183,250,85
411,111,111,111
412,178,139,131
413,138,93,168
414,229,150,156
415,117,168,152
416,116,74,77
417,166,119,116
418,178,120,126
419,100,149,112
420,87,125,150
421,130,128,150
422,130,163,100
423,142,173,59
424,70,145,117
425,89,143,173
426,177,93,88
427,103,104,138
428,123,132,139
429,105,180,165
430,116,112,188
431,177,143,146
432,192,180,149
433,89,123,137
434,58,154,142
435,110,190,135
436,137,79,51
437,158,158,108
438,147,107,111
439,118,118,87
440,114,106,103
441,154,105,64
442,180,134,138
443,83,196,150
444,118,131,114
445,162,200,119
446,125,106,129
447,140,99,131
448,125,138,136
449,100,118,111
450,149,111,115
451,170,142,129
452,128,168,177
453,212,126,144
454,103,108,173
455,160,79,62
456,124,167,72
457,110,117,134
458,127,164,146
459,238,124,112
460,139,135,114
461,98,72,164
462,155,173,92
463,187,217,127
464,121,145,127
465,130,99,127
466,58,183,94
467,110,161,121
468,145,135,54
469,186,68,62
470,114,173,128
471,192,149,135
472,209,144,70
473,121,171,137
474,127,54,112
475,105,218,135
476,96,152,139
477,104,161,166
478,230,135,170
479,173,144,147
480,143,154,103
481,106,132,103
482,115,155,137
483,138,132,104
484,91,146,126
485,145,108,109
486,108,188,145
487,102,181,160
488,130,135,175
489,211,157,145
490,102,173,135
491,111,122,155
492,140,137,134
493,130,159,96
494,143,190,101
495,154,113,109
496,130,168,167
497,206,166,180
498,150,133,91
499,125,126,73
500,170,143,100
501,184,191,151
502,151,117,132
503,164,137,173
504,134,150,136
505,119,153,97
506,185,147,136
507,95,212,197
508,129,158,162
509,155,186,131
510,195,160,64
511,209,131,114
512,114,158,96
513,183,184,154
514,175,150,134
515,140,189,183
516,116,140,123
517,163,159,179
518,218,107,154
519,137,164,94
520,203,128,151
521,110,110,113
522,172,92,114
523,68,108,116
524,119,52,97
525,111,165,110
526,123,157,132
527,180,113,134
528,137,119,92
529,169,110,121
530,138,141,135
531,117,178,90
532,170,172,150
533,167,101,147
534,143,183,128
535,157,158,146
536,169,157,79
537,108,119,84
538,131,102,109
539,148,110,126
540,166,116,95
541,197,188,153
542,104,83,99
543,189,126,143
544,170,160,142
545,167,118,135
546,167,169,103
547,124,151,193
548,86,144,172
549,108,161,144
550,85,145,110
551,98,191,70
552,186,166,138
553,165,110,102
554,105,145,94
555,117,139,150
556,113,120,89
557,171,163,127
558,185,118,108
559,137,134,116
560,200,101,160
561,166,109,112
562,191,106,131
563,119,141,102
564,138,164,124
565,102,152,95
566,209,134,145
567,178,73,126
568,149,116,158
569,121,111,90
570,134,183,101
571,168,177,124
572,183,209,69
573,121,130,138
574,181,142,137
575,178,132,128
576,160,166,122
577,163,116,92
578,100,65,98
579,174,146,124
580,126,156,130
581,144,105,138
582,164,124,151
583,135,226,141
584,174,102,170
585,103,104,172
586,150,113,169
587,175,163,138
588,151,138,89
589,145,126,143
590,150,97,102
591,133,164,174
592,176,146,134
593,129,106,128
594,151,185,78
595,124,140,113
596,176,146,157
597,165,184,197
598,174,138,103
599,137,182,94
600,129,102,181
601,111,117,119
602,103,217,177
603,165,143,107
604,106,171,154
605,117,177,181
606,67,178,100
607,230,166,159
608,136,145,68
609,98,182,140
610,180,158,103
611,56,95,136
612,191,193,99
613,114,200,141
614,190,194,121
615,100,161,174
616,144,157,115
617,173,101,109
618,149,49,79
619,165,173,112
620,101,124,146
621,196,113,147
622,206,139,85
623,175,111,106
624,153,176,161
625,139,132,110
626,75,208,160
627,144,158,148
628,181,206,97
629,182,95,148
630,178,147,110
631,228,169,129
632,121,164,118
633,138,234,156
634,167,148,140
635,97,104,58
636,199,181,121
637,120,163,129
638,221,127,110
639,90,161,94
640,138,68,154
641,82,148,172
642,74,157,151
643,87,121,118
644,55,127,127
645,137,117,112
646,180,165,100
647,109,101,125
648,120,102,183
649,148,99,110
650,193,182,146
651,118,155,105
652,180,125,157
653,181,106,95
654,158,174,132
655,117,157,178
656,148,129,164
657,110,175,133
658,106,110,171
659,162,170,164
660,188,151,148
661,129,88,120
662,115,131,96
663,194,115,168
664,134,50,151
665,157,203,152
666,105,132,89
667,93,113,80
668,100,159,133
669,109,120,92
670,125,160,156
671,148,145,159
672,152,209,71
673,170,208,114
674,140,157,95
675,145,125,136
676,147,164,145
677,86,159,90
678,192,196,124
679,85,112,117
680,183,150,134
681,176,146,125
682,178,179,161
683,191,86,43
684,144,103,150
685,88,131,127
686,180,92,136
687,147,114,144
688,106,191,135
689,168,160,118
690,102,138,82
691,176,171,128
692,146,210,127
693,189,171,125
694,119,137,168
695,160,142,181
696,130,109,148
697,166,125,124
698,145,134,100
699,222,153,126
700,144,127,139
701,171,188,121
702,104,162,108
703,183,108,136
704,180,130,149
705,106,118,99
706,214,94,158
707,113,132,201
708,170,204,98
709,148,166,119
710,113,118,155
711,155,153,190
712,128,120,121
713,158,193,105
714,194,90,112
715,99,193,107
716,132,188,128
717,190,143,119
718,159,114,43
719,136,139,141
720,153,142,114
721,145,110,144
722,155,58,128
723,125,184,155
724,111,190,115
725,109,189,141
726,193,149,103
727,140,189,92
728,181,195,106
729,142,182,118
730,102,184,150
731,157,92,163
732,119,149,78
733,175,135,113
734,161,83,131
735,86,113,98
736,172,109,162
737,148,116,53
738,106,135,73
739,99,179,131
740,80,93,134
741,188,172,136
742,110,166,153
743,131,146,179
744,114,136,103
745,105,158,164
746,89,167,113
747,124,182,113
748,165,107,180
749,185,116,113
750,181,116,157
751,176,149,92
752,180,157,150
753,120,121,106
754,199,188,100
755,171,129,168
756,155,81,115
757,90,228,75
758,86,161,120
759,183,134,99
760,125,108,137
761,102,124,126
762,114,129,175
763,39,158,109
764,166,148,160
765,117,151,98
766,165,88,107
767,189,169,124
768,129,125,152
769,187,145,168
770,150,142,63
771,152,146,150
772,123,82,116
773,145,129,98
774,104,140,122
775,106,175,59
776,140,147,143
777,125,181,154
778,91,128,71
779,91,88,159
780,159,145,142
781,170,186,113
782,145,106,67
783,180,168,120
784,125,96,142
785,165,127,119
786,118,119,133
787,103,163,165
788,139,145,164
789,143,140,114
790,196,188,132
791,180,168,92
792,91,139,113
793,132,132,115
794,183,194,87
795,143,127,114
796,117,144,138
797,116,128,186
798,158,95,157
799,175,183,156
800,158,133,148
801,119,181,160
802,115,184,139
803,145,128,60
804,132,198,120
805,118,88,132
806,138,59,119
807,170,146,98
808,96,81,130
809,94,161,151
810,130,156,102
811,143,129,153
812,129,138,105
813,149,139,155
814,106,97,153
815,216,173,178
816,185,141,90
817,182,215,169
818,73,145,79
819,161,206,140
820,175,119,159
821,164,153,129
822,197,212,103
823,117,90,179
824,86,122,117
825,158,173,156
826,174,116,108
827,142,113,139
828,156,111,64
829,113,125,169
830,140,148,100
831,112,0,158
832,96,153,139
833,133,120,153
834,141,176,125
835,172,109,160
836,108,75,126
837,175,70,143
838,110,160,156
839,152,148,111
840,124,163,109
841,79,193,125
842,138,136,142
843,142,171,133
844,200,63,83
845,146,164,88
846,149,153,141
847,146,213,97
848,77,148,185
849,101,147,112
850,225,80,123
851,112,115,52
852,130,204,128
853,163,136,165
854,137,137,71
855,127,96,141
856,55,149,108
857,166,165,167
858,142,125,108
859,76,74,162
860,119,135,108
861,138,79,148
862,64,152,154
863,172,146,97
864,122,204,120
865,74,122,123
866,197,121,115
867,176,175,98
868,117,153,102
869,116,112,151
870,109,112,92
871,125,170,103
872,119,113,138
873,176,178,137
874,94,123,124
875,199,163,77
876,113,177,128
877,104,109,183
878,89,118,149
879,151,123,113
880,113,198,198
881,99,164,97
882,97,142,221
883,114,144,162
884,106,148,124
885,100,165,133
886,128,168,132
887,175,109,111
888,124,150,136
889,151,105,148
890,89,153,98
891,159,169,98
892,133,145,159
893,181,190,130
894,130,99,126
895,177,195,33
896,174,97,81
897,167,96,123
898,142,162,106
899,145,145,102
900,150,188,147
901,71,117,144
902,146,168,159
903,66,125,104
904,152,150,137
905,159,132,132
906,125,183,118
907,165,101,157
908,148,117,80
909,122,131,114
910,152,152,156
911,169,151,95
912,155,180,30
913,194,84,117
914,118,104,150
915,140,136,196
916,101,189,161
917,189,134,155
918,107,245,107
919,171,118,64
920,110,208,116
921,122,138,52
922,175,157,84
923,151,166,140
924,121,181,128
925,91,82,146
926,77,138,164
927,119,125,130
928,188,194,43
929,102,126,129
930,195,154,81
931,144,143,116
932,120,70,114
933,160,164,129
934,126,88,115
935,149,151,99
936,97,113,162
937,109,138,132
938,210,215,100
939,112,117,94
940,136,131,174
941,146,108,115
942,126,162,97
943,112,131,136
944,146,143,179
945,174,111,114
946,193,188,53
947,178,87,86
948,141,165,81
949,106,128,77
950,74,152,167
951,161,118,146
952,77,134,128
953,105,167,206
954,116,167,88
955,109,111,101
956,145,125,138
957,123,141,146
958,159,67,123
959,78,170,129
960,162,106,121
961,103,83,171
962,104,181,146
963,64,105,79
964,68,80,131
965,114,151,136
966,133,112,83
967,86,138,148
968,157,67,111
969,170,173,60
970,104,108,148
971,152,155,104
972,125,114,55
973,214,110,144
974,91,71,100
975,117,127,122
976,120,218,159
977,147,67,81
978,115,79,85
979,121,88,175
980,145,155,141
981,130,104,158
982,144,121,182
983,164,167,62
984,204,126,108
985,98,122,144
986,173,130,101
987,154,125,114
988,102,115,83
989,133,118,65
990,126,177,100
991,101,137,106
992,187,158,119
993,140,119,161
994,118,150,138
995,92,159,130
996,188,174,148
997,152,98,88
998,140,125,137
999,163,57,139
1000,133,104,169
