Damage_Range,Frequency,Weapon,Character
30-38,2,Sanguine Dagger (4d6),Level 5 Rogue
39-47,2,Sanguine Dagger (4d6),Level 5 Rogue
48-56,4,Sanguine Dagger (4d6),Level 5 Rogue
57-65,7,Sanguine Dagger (4d6),Level 5 Rogue
66-74,13,Sanguine Dagger (4d6),Level 5 Rogue
75-83,21,Sanguine Dagger (4d6),Level 5 Rogue
84-92,47,Sanguine Dagger (4d6),Level 5 Rogue
93-101,41,Sanguine Dagger (4d6),Level 5 Rogue
102-110,62,Sanguine Dagger (4d6),Level 5 Rogue
111-119,94,Sanguine Dagger (4d6),Level 5 Rogue
120-128,97,Sanguine Dagger (4d6),Level 5 Rogue
129-137,101,Sanguine Dagger (4d6),Level 5 Rogue
138-146,97,Sanguine Dagger (4d6),Level 5 Rogue
147-155,88,Sanguine Dagger (4d6),Level 5 Rogue
156-164,86,Sanguine Dagger (4d6),Level 5 Rogue
165-173,70,Sanguine Dagger (4d6),Level 5 Rogue
174-182,50,Sanguine Dagger (4d6),Level 5 Rogue
183-191,44,Sanguine Dagger (4d6),Level 5 Rogue
192-200,30,Sanguine Dagger (4d6),Level 5 Rogue
201-209,26,Sanguine Dagger (4d6),Level 5 Rogue
210-218,9,Sanguine Dagger (4d6),Level 5 Rogue
219-227,5,Sanguine Dagger (4d6),Level 5 Rogue
228-236,2,Sanguine Dagger (4d6),Level 5 Rogue
237-245,1,Sanguine Dagger (4d6),Level 5 Rogue
246-254,1,Sanguine Dagger (4d6),Level 5 Rogue
17-26,1,Sanguine Dagger,Level 5 Rogue
27-36,5,Sanguine Dagger,Level 5 Rogue
37-46,2,Sanguine Dagger,Level 5 Rogue
47-56,10,Sanguine Dagger,Level 5 Rogue
57-66,11,Sanguine Dagger,Level 5 Rogue
67-76,20,Sanguine Dagger,Level 5 Rogue
77-86,31,Sanguine Dagger,Level 5 Rogue
87-96,39,Sanguine Dagger,Level 5 Rogue
97-106,63,Sanguine Dagger,Level 5 Rogue
107-116,90,Sanguine Dagger,Level 5 Rogue
117-126,112,Sanguine Dagger,Level 5 Rogue
127-136,88,Sanguine Dagger,Level 5 Rogue
137-146,111,Sanguine Dagger,Level 5 Rogue
147-156,97,Sanguine Dagger,Level 5 Rogue
157-166,100,Sanguine Dagger,Level 5 Rogue
167-176,74,Sanguine Dagger,Level 5 Rogue
177-186,64,Sanguine Dagger,Level 5 Rogue
187-196,41,Sanguine Dagger,Level 5 Rogue
197-206,20,Sanguine Dagger,Level 5 Rogue
207-216,13,Sanguine Dagger,Level 5 Rogue
217-226,4,Sanguine Dagger,Level 5 Rogue
227-236,2,Sanguine Dagger,Level 5 Rogue
237-246,1,Sanguine Dagger,Level 5 Rogue
247-256,1,Sanguine Dagger,Level 5 Rogue
17-24,1,Baseline Rapier +1,Level 5 Rogue
33-40,1,Baseline Rapier +1,Level 5 Rogue
41-48,2,Baseline Rapier +1,Level 5 Rogue
49-56,12,Baseline Rapier +1,Level 5 Rogue
57-64,5,Baseline Rapier +1,Level 5 Rogue
65-72,19,Baseline Rapier +1,Level 5 Rogue
73-80,37,Baseline Rapier +1,Level 5 Rogue
81-88,41,Baseline Rapier +1,Level 5 Rogue
89-96,64,Baseline Rapier +1,Level 5 Rogue
97-104,71,Baseline Rapier +1,Level 5 Rogue
105-112,91,Baseline Rapier +1,Level 5 Rogue
113-120,101,Baseline Rapier +1,Level 5 Rogue
121-128,99,Baseline Rapier +1,Level 5 Rogue
129-136,89,Baseline Rapier +1,Level 5 Rogue
137-144,96,Baseline Rapier +1,Level 5 Rogue
145-152,75,Baseline Rapier +1,Level 5 Rogue
153-160,67,Baseline Rapier +1,Level 5 Rogue
161-168,47,Baseline Rapier +1,Level 5 Rogue
169-176,25,Baseline Rapier +1,Level 5 Rogue
177-184,26,Baseline Rapier +1,Level 5 Rogue
185-192,18,Baseline Rapier +1,Level 5 Rogue
193-200,7,Baseline Rapier +1,Level 5 Rogue
201-208,5,Baseline Rapier +1,Level 5 Rogue
209-216,1,Baseline Rapier +1,Level 5 Rogue
166-176,2,Sanguine Dagger (4d6),Level 5 Rogue
177-187,4,Sanguine Dagger (4d6),Level 5 Rogue
188-198,2,Sanguine Dagger (4d6),Level 5 Rogue
199-209,5,Sanguine Dagger (4d6),Level 5 Rogue
210-220,9,Sanguine Dagger (4d6),Level 5 Rogue
221-231,17,Sanguine Dagger (4d6),Level 5 Rogue
232-242,17,Sanguine Dagger (4d6),Level 5 Rogue
243-253,32,Sanguine Dagger (4d6),Level 5 Rogue
254-264,29,Sanguine Dagger (4d6),Level 5 Rogue
265-275,55,Sanguine Dagger (4d6),Level 5 Rogue
276-286,74,Sanguine Dagger (4d6),Level 5 Rogue
287-297,70,Sanguine Dagger (4d6),Level 5 Rogue
298-308,96,Sanguine Dagger (4d6),Level 5 Rogue
309-319,96,Sanguine Dagger (4d6),Level 5 Rogue
320-330,78,Sanguine Dagger (4d6),Level 5 Rogue
331-341,85,Sanguine Dagger (4d6),Level 5 Rogue
342-352,93,Sanguine Dagger (4d6),Level 5 Rogue
353-363,64,Sanguine Dagger (4d6),Level 5 Rogue
364-374,56,Sanguine Dagger (4d6),Level 5 Rogue
375-385,50,Sanguine Dagger (4d6),Level 5 Rogue
386-396,34,Sanguine Dagger (4d6),Level 5 Rogue
397-407,12,Sanguine Dagger (4d6),Level 5 Rogue
408-418,13,Sanguine Dagger (4d6),Level 5 Rogue
419-429,2,Sanguine Dagger (4d6),Level 5 Rogue
430-440,5,Sanguine Dagger (4d6),Level 5 Rogue
158-170,1,Sanguine Dagger,Level 5 Rogue
171-183,4,Sanguine Dagger,Level 5 Rogue
184-196,3,Sanguine Dagger,Level 5 Rogue
197-209,5,Sanguine Dagger,Level 5 Rogue
210-222,10,Sanguine Dagger,Level 5 Rogue
223-235,21,Sanguine Dagger,Level 5 Rogue
236-248,29,Sanguine Dagger,Level 5 Rogue
249-261,49,Sanguine Dagger,Level 5 Rogue
262-274,64,Sanguine Dagger,Level 5 Rogue
275-287,75,Sanguine Dagger,Level 5 Rogue
288-300,89,Sanguine Dagger,Level 5 Rogue
301-313,89,Sanguine Dagger,Level 5 Rogue
314-326,113,Sanguine Dagger,Level 5 Rogue
327-339,108,Sanguine Dagger,Level 5 Rogue
340-352,103,Sanguine Dagger,Level 5 Rogue
353-365,82,Sanguine Dagger,Level 5 Rogue
366-378,66,Sanguine Dagger,Level 5 Rogue
379-391,43,Sanguine Dagger,Level 5 Rogue
392-404,24,Sanguine Dagger,Level 5 Rogue
405-417,14,Sanguine Dagger,Level 5 Rogue
418-430,2,Sanguine Dagger,Level 5 Rogue
431-443,4,Sanguine Dagger,Level 5 Rogue
444-456,1,Sanguine Dagger,Level 5 Rogue
457-469,1,Sanguine Dagger,Level 5 Rogue
141-150,4,Baseline Rapier +1,Level 5 Rogue
161-170,3,Baseline Rapier +1,Level 5 Rogue
171-180,5,Baseline Rapier +1,Level 5 Rogue
181-190,8,Baseline Rapier +1,Level 5 Rogue
191-200,13,Baseline Rapier +1,Level 5 Rogue
201-210,23,Baseline Rapier +1,Level 5 Rogue
211-220,27,Baseline Rapier +1,Level 5 Rogue
221-230,51,Baseline Rapier +1,Level 5 Rogue
231-240,77,Baseline Rapier +1,Level 5 Rogue
241-250,81,Baseline Rapier +1,Level 5 Rogue
251-260,77,Baseline Rapier +1,Level 5 Rogue
261-270,100,Baseline Rapier +1,Level 5 Rogue
271-280,90,Baseline Rapier +1,Level 5 Rogue
281-290,89,Baseline Rapier +1,Level 5 Rogue
291-300,87,Baseline Rapier +1,Level 5 Rogue
301-310,88,Baseline Rapier +1,Level 5 Rogue
311-320,73,Baseline Rapier +1,Level 5 Rogue
321-330,48,Baseline Rapier +1,Level 5 Rogue
331-340,31,Baseline Rapier +1,Level 5 Rogue
341-350,16,Baseline Rapier +1,Level 5 Rogue
351-360,6,Baseline Rapier +1,Level 5 Rogue
361-370,2,Baseline Rapier +1,Level 5 Rogue
381-390,1,Baseline Rapier +1,Level 5 Rogue
35-46,1,Sanguine Dagger (4d6),Level 5 Rogue
47-58,1,Sanguine Dagger (4d6),Level 5 Rogue
59-70,1,Sanguine Dagger (4d6),Level 5 Rogue
71-82,2,Sanguine Dagger (4d6),Level 5 Rogue
83-94,10,Sanguine Dagger (4d6),Level 5 Rogue
95-106,21,Sanguine Dagger (4d6),Level 5 Rogue
107-118,26,Sanguine Dagger (4d6),Level 5 Rogue
119-130,55,Sanguine Dagger (4d6),Level 5 Rogue
131-142,51,Sanguine Dagger (4d6),Level 5 Rogue
143-154,58,Sanguine Dagger (4d6),Level 5 Rogue
155-166,80,Sanguine Dagger (4d6),Level 5 Rogue
167-178,101,Sanguine Dagger (4d6),Level 5 Rogue
179-190,93,Sanguine Dagger (4d6),Level 5 Rogue
191-202,98,Sanguine Dagger (4d6),Level 5 Rogue
203-214,92,Sanguine Dagger (4d6),Level 5 Rogue
215-226,79,Sanguine Dagger (4d6),Level 5 Rogue
227-238,78,Sanguine Dagger (4d6),Level 5 Rogue
239-250,55,Sanguine Dagger (4d6),Level 5 Rogue
251-262,31,Sanguine Dagger (4d6),Level 5 Rogue
263-274,23,Sanguine Dagger (4d6),Level 5 Rogue
275-286,25,Sanguine Dagger (4d6),Level 5 Rogue
287-298,12,Sanguine Dagger (4d6),Level 5 Rogue
299-310,5,Sanguine Dagger (4d6),Level 5 Rogue
311-322,2,Sanguine Dagger (4d6),Level 5 Rogue
47-58,1,Sanguine Dagger,Level 5 Rogue
59-70,1,Sanguine Dagger,Level 5 Rogue
71-82,3,Sanguine Dagger,Level 5 Rogue
83-94,13,Sanguine Dagger,Level 5 Rogue
95-106,15,Sanguine Dagger,Level 5 Rogue
107-118,23,Sanguine Dagger,Level 5 Rogue
119-130,39,Sanguine Dagger,Level 5 Rogue
131-142,64,Sanguine Dagger,Level 5 Rogue
143-154,66,Sanguine Dagger,Level 5 Rogue
155-166,78,Sanguine Dagger,Level 5 Rogue
167-178,96,Sanguine Dagger,Level 5 Rogue
179-190,93,Sanguine Dagger,Level 5 Rogue
191-202,114,Sanguine Dagger,Level 5 Rogue
203-214,98,Sanguine Dagger,Level 5 Rogue
215-226,87,Sanguine Dagger,Level 5 Rogue
227-238,70,Sanguine Dagger,Level 5 Rogue
239-250,44,Sanguine Dagger,Level 5 Rogue
251-262,41,Sanguine Dagger,Level 5 Rogue
263-274,23,Sanguine Dagger,Level 5 Rogue
275-286,12,Sanguine Dagger,Level 5 Rogue
287-298,8,Sanguine Dagger,Level 5 Rogue
299-310,8,Sanguine Dagger,Level 5 Rogue
311-322,2,Sanguine Dagger,Level 5 Rogue
323-334,1,Sanguine Dagger,Level 5 Rogue
38-48,1,Baseline Rapier +1,Level 5 Rogue
49-59,1,Baseline Rapier +1,Level 5 Rogue
60-70,2,Baseline Rapier +1,Level 5 Rogue
71-81,6,Baseline Rapier +1,Level 5 Rogue
82-92,15,Baseline Rapier +1,Level 5 Rogue
93-103,25,Baseline Rapier +1,Level 5 Rogue
104-114,31,Baseline Rapier +1,Level 5 Rogue
115-125,48,Baseline Rapier +1,Level 5 Rogue
126-136,69,Baseline Rapier +1,Level 5 Rogue
137-147,104,Baseline Rapier +1,Level 5 Rogue
148-158,98,Baseline Rapier +1,Level 5 Rogue
159-169,116,Baseline Rapier +1,Level 5 Rogue
170-180,93,Baseline Rapier +1,Level 5 Rogue
181-191,106,Baseline Rapier +1,Level 5 Rogue
192-202,92,Baseline Rapier +1,Level 5 Rogue
203-213,60,Baseline Rapier +1,Level 5 Rogue
214-224,52,Baseline Rapier +1,Level 5 Rogue
225-235,34,Baseline Rapier +1,Level 5 Rogue
236-246,20,Baseline Rapier +1,Level 5 Rogue
247-257,14,Baseline Rapier +1,Level 5 Rogue
258-268,8,Baseline Rapier +1,Level 5 Rogue
269-279,4,Baseline Rapier +1,Level 5 Rogue
280-290,1,Baseline Rapier +1,Level 5 Rogue
