Damage_Range,Frequency,Weapon,Character
38-49,1,Sanguine Dagger (4d6),Level 5 Rogue
50-61,3,Sanguine Dagger (4d6),Level 5 Rogue
62-73,4,Sanguine Dagger (4d6),Level 5 Rogue
74-85,4,Sanguine Dagger (4d6),Level 5 Rogue
86-97,19,Sanguine Dagger (4d6),Level 5 Rogue
98-109,16,Sanguine Dagger (4d6),Level 5 Rogue
110-121,31,Sanguine Dagger (4d6),Level 5 Rogue
122-133,40,Sanguine Dagger (4d6),Level 5 Rogue
134-145,53,Sanguine Dagger (4d6),Level 5 Rogue
146-157,83,Sanguine Dagger (4d6),Level 5 Rogue
158-169,66,Sanguine Dagger (4d6),Level 5 Rogue
170-181,85,Sanguine Dagger (4d6),Level 5 Rogue
182-193,91,Sanguine Dagger (4d6),Level 5 Rogue
194-205,115,Sanguine Dagger (4d6),Level 5 Rogue
206-217,90,Sanguine Dagger (4d6),Level 5 Rogue
218-229,85,Sanguine Dagger (4d6),Level 5 Rogue
230-241,64,Sanguine Dagger (4d6),Level 5 Rogue
242-253,51,Sanguine Dagger (4d6),Level 5 Rogue
254-265,41,Sanguine Dagger (4d6),Level 5 Rogue
266-277,21,Sanguine Dagger (4d6),Level 5 Rogue
278-289,17,Sanguine Dagger (4d6),Level 5 Rogue
290-301,15,Sanguine Dagger (4d6),Level 5 Rogue
302-313,4,Sanguine Dagger (4d6),Level 5 Rogue
314-325,1,Sanguine Dagger (4d6),Level 5 Rogue
56-66,2,Sanguine Dagger,Level 5 Rogue
67-77,2,Sanguine Dagger,Level 5 Rogue
78-88,6,Sanguine Dagger,Level 5 Rogue
89-99,12,Sanguine Dagger,Level 5 Rogue
100-110,13,Sanguine Dagger,Level 5 Rogue
111-121,25,Sanguine Dagger,Level 5 Rogue
122-132,49,Sanguine Dagger,Level 5 Rogue
133-143,39,Sanguine Dagger,Level 5 Rogue
144-154,64,Sanguine Dagger,Level 5 Rogue
155-165,66,Sanguine Dagger,Level 5 Rogue
166-176,86,Sanguine Dagger,Level 5 Rogue
177-187,91,Sanguine Dagger,Level 5 Rogue
188-198,90,Sanguine Dagger,Level 5 Rogue
199-209,95,Sanguine Dagger,Level 5 Rogue
210-220,94,Sanguine Dagger,Level 5 Rogue
221-231,75,Sanguine Dagger,Level 5 Rogue
232-242,51,Sanguine Dagger,Level 5 Rogue
243-253,44,Sanguine Dagger,Level 5 Rogue
254-264,41,Sanguine Dagger,Level 5 Rogue
265-275,28,Sanguine Dagger,Level 5 Rogue
276-286,9,Sanguine Dagger,Level 5 Rogue
287-297,8,Sanguine Dagger,Level 5 Rogue
298-308,3,Sanguine Dagger,Level 5 Rogue
309-319,4,Sanguine Dagger,Level 5 Rogue
320-330,3,Sanguine Dagger,Level 5 Rogue
40-50,1,Baseline Rapier +1,Level 5 Rogue
51-61,1,Baseline Rapier +1,Level 5 Rogue
62-72,2,Baseline Rapier +1,Level 5 Rogue
73-83,6,Baseline Rapier +1,Level 5 Rogue
84-94,17,Baseline Rapier +1,Level 5 Rogue
95-105,22,Baseline Rapier +1,Level 5 Rogue
106-116,40,Baseline Rapier +1,Level 5 Rogue
117-127,64,Baseline Rapier +1,Level 5 Rogue
128-138,72,Baseline Rapier +1,Level 5 Rogue
139-149,84,Baseline Rapier +1,Level 5 Rogue
150-160,94,Baseline Rapier +1,Level 5 Rogue
161-171,100,Baseline Rapier +1,Level 5 Rogue
172-182,116,Baseline Rapier +1,Level 5 Rogue
183-193,86,Baseline Rapier +1,Level 5 Rogue
194-204,89,Baseline Rapier +1,Level 5 Rogue
205-215,59,Baseline Rapier +1,Level 5 Rogue
216-226,47,Baseline Rapier +1,Level 5 Rogue
227-237,48,Baseline Rapier +1,Level 5 Rogue
238-248,27,Baseline Rapier +1,Level 5 Rogue
249-259,11,Baseline Rapier +1,Level 5 Rogue
260-270,8,Baseline Rapier +1,Level 5 Rogue
271-281,4,Baseline Rapier +1,Level 5 Rogue
282-292,1,Baseline Rapier +1,Level 5 Rogue
304-314,1,Baseline Rapier +1,Level 5 Rogue
